,Fare Type,Timing,Distance,Fare per Ride
364,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,43
365,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,43
366,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,43
367,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,43
368,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,43
369,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,43
370,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,43
371,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,43
372,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,43
373,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,43
374,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,43
375,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,43
376,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,43
377,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,43
378,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,43
379,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,43
380,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,43
381,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,43
382,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,43
383,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),34.3 km - 35.2 km,43
384,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),35.3 km - 36.2 km,43
385,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),36.3 km - 37.2 km,43
386,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),37.3 km - 38.2 km,43
387,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),38.3 km - 39.2 km,43
388,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,43
389,Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,43
390,Persons with diabilities card fare,All other timings,Up to 3.2 km,60
391,Persons with diabilities card fare,All other timings,3.3 km - 4.2 km,67
392,Persons with diabilities card fare,All other timings,4.3 km - 5.2 km,74
393,Persons with diabilities card fare,All other timings,5.3 km - 6.2 km,81
394,Persons with diabilities card fare,All other timings,6.3 km - 7.2 km,87
395,Persons with diabilities card fare,All other timings,7.3 km - 8.2 km,93
396,Persons with diabilities card fare,All other timings,8.3 km - 9.2 km,93
397,Persons with diabilities card fare,All other timings,9.3 km - 10.2 km,93
398,Persons with diabilities card fare,All other timings,10.3 km - 11.2 km,93
399,Persons with diabilities card fare,All other timings,11.3 km - 12.2 km,93
400,Persons with diabilities card fare,All other timings,12.3 km - 13.2 km,93
401,Persons with diabilities card fare,All other timings,13.3 km - 14.2 km,93
402,Persons with diabilities card fare,All other timings,14.3 km - 15.2 km,93
403,Persons with diabilities card fare,All other timings,15.3 km - 16.2 km,93
404,Persons with diabilities card fare,All other timings,16.3 km - 17.2 km,93
405,Persons with diabilities card fare,All other timings,17.3 km - 18.2 km,93
406,Persons with diabilities card fare,All other timings,18.3 km - 19.2 km,93
407,Persons with diabilities card fare,All other timings,19.3 km - 20.2 km,93
408,Persons with diabilities card fare,All other timings,20.3 km - 21.2 km,93
409,Persons with diabilities card fare,All other timings,21.3 km - 22.2 km,93
410,Persons with diabilities card fare,All other timings,22.3 km - 23.2 km,93
411,Persons with diabilities card fare,All other timings,23.3 km - 24.2 km,93
412,Persons with diabilities card fare,All other timings,24.3 km - 25.2 km,93
413,Persons with diabilities card fare,All other timings,25.3 km - 26.2 km,93
414,Persons with diabilities card fare,All other timings,26.3 km - 27.2 km,93
415,Persons with diabilities card fare,All other timings,27.3 km - 28.2 km,93
416,Persons with diabilities card fare,All other timings,28.3 km - 29.2 km,93
417,Persons with diabilities card fare,All other timings,29.3 km - 30.2 km,93
418,Persons with diabilities card fare,All other timings,30.3 km - 31.2 km,93
419,Persons with diabilities card fare,All other timings,31.3 km - 32.2 km,93
420,Persons with diabilities card fare,All other timings,32.3 km - 33.2 km,93
421,Persons with diabilities card fare,All other timings,33.3 km - 34.2 km,93
422,Persons with diabilities card fare,All other timings,34.3 km - 35.2 km,93
423,Persons with diabilities card fare,All other timings,35.3 km - 36.2 km,93
424,Persons with diabilities card fare,All other timings,36.3 km - 37.2 km,93
425,Persons with diabilities card fare,All other timings,37.3 km - 38.2 km,93
426,Persons with diabilities card fare,All other timings,38.3 km - 39.2 km,93
427,Persons with diabilities card fare,All other timings,39.3 km - 40.2 km,93
428,Persons with diabilities card fare,All other timings,Over 40.2 km,93
