Month,Type of Vehicle,Type of Fuel,Count
2017-07,Cars,Petrol-Electric,15420
2017-07,Cars,Petrol-Electric (Plug-In),132
2017-07,Cars,Petrol-CNG,1164
2017-07,Cars,CNG,0
2017-07,Cars,Electric,12
2017-07,Cars,Diesel-Electric,22
2017-08,Cars,Petrol,575674
2017-08,Cars,Diesel,13874
2017-08,Cars,Petrol-Electric,16703
2017-08,Cars,Petrol-Electric (Plug-In),152
2017-08,Cars,Petrol-CNG,1111
2017-08,Cars,CNG,0
2017-08,Cars,Electric,22
2017-08,Cars,Diesel-Electric,22
2017-09,Cars,Petrol,574302
2017-09,Cars,Diesel,14151
2017-09,Cars,Petrol-Electric,17196
2017-09,Cars,Petrol-Electric (Plug-In),165
2017-09,Cars,Petrol-CNG,1080
2017-09,Cars,CNG,0
2017-09,Cars,Electric,33
2017-09,Cars,Diesel-Electric,22
2017-10,Cars,Petrol,573630
2017-10,Cars,Diesel,14486
2017-10,Cars,Petrol-Electric,18069
2017-10,Cars,Petrol-Electric (Plug-In),186
2017-10,Cars,Petrol-CNG,1053
2017-10,Cars,CNG,0
2017-10,Cars,Electric,37
2017-10,Cars,Diesel-Electric,22
2017-11,Cars,Petrol,573648
2017-11,Cars,Diesel,14934
2017-11,Cars,Petrol-Electric,18928
2017-11,Cars,Petrol-Electric (Plug-In),191
2017-11,Cars,Petrol-CNG,1026
2017-11,Cars,CNG,0
2017-11,Cars,Electric,93
2017-11,Cars,Diesel-Electric,22
2017-12,Cars,Petrol,574443
2017-12,Cars,Diesel,15514
2017-12,Cars,Petrol-Electric,20751
2017-12,Cars,Petrol-Electric (Plug-In),206
2017-12,Cars,Petrol-CNG,1006
2017-12,Cars,CNG,0
2017-12,Cars,Electric,314
2017-12,Cars,Diesel-Electric,22
2018-01,Cars,Petrol,572883
2018-01,Cars,Diesel,15572
2018-01,Cars,Petrol-Electric,20810
2018-01,Cars,Petrol-Electric (Plug-In),207
2018-01,Cars,Petrol-CNG,972
2018-01,Cars,CNG,0
2018-01,Cars,Electric,335
2018-01,Cars,Diesel-Electric,21
2018-02,Cars,Petrol,573108
2018-02,Cars,Diesel,15658
2018-02,Cars,Petrol-Electric,21014
2018-02,Cars,Petrol-Electric (Plug-In),211
2018-02,Cars,Petrol-CNG,950
2018-02,Cars,CNG,0
2018-02,Cars,Electric,346
